anime_id,name,genre,type,episodes,rating,members,studio,release_year,status,source,age_rating,tags
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,Toei Animation,1975,Upcoming,Original,R+,"Adventure, Sci-Fi"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,Wit Studio,2007,Completed,Game,R,"Romance, Action"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,Kyoto Animation,1976,Upcoming,Light Novel,G,"Fantasy, Horror"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,Toei Animation,1999,Upcoming,Game,R+,"Adventure, Sci-Fi"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,Toei Animation,2012,Completed,Original,R+,"Comedy, Adventure"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,Studio Pierrot,1975,Upcoming,Light Novel,G,"Fantasy, Romance"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,Kyoto Animation,1986,Ongoing,Manga,G,"Action, Comedy"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,Toei Animation,2022,Ongoing,Game,G,"Slice of Life, Romance"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,Madhouse,2020,Completed,Light Novel,G,"Drama, Fantasy"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,Toei Animation,1983,Upcoming,Light Novel,PG,"Comedy, Action"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,Toei Animation,1985,Upcoming,Light Novel,PG,"Drama, Romance"
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,Bones,2009,Upcoming,Web Novel,PG-13,"Drama, Action"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,Bones,2003,Ongoing,Light Novel,R,"Slice of Life, Action"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,Bones,2014,Ongoing,Manga,R,"Romance, Action"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,Toei Animation,1991,Upcoming,Original,R,"Slice of Life, Comedy"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,Wit Studio,1973,Upcoming,Manga,G,"Drama, Sci-Fi"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,Studio Pierrot,1980,Ongoing,Manga,PG-13,"Sci-Fi, Fantasy"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,Wit Studio,1979,Completed,Original,PG-13,"Slice of Life, Action"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,Wit Studio,1987,Upcoming,Web Novel,PG,"Sci-Fi, Romance"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,Toei Animation,1980,Completed,Game,G,"Fantasy, Sci-Fi"
