user_id,username,age,location
1,name1,57,USA
2,name2,52,UK
3,name3,67,India
4,name4,15,Australia
5,name5,31,UK
6,name6,13,USA
7,name7,68,India
8,name8,31,Canada
9,name9,17,Canada
10,name10,60,Australia
11,name11,35,USA
12,name12,33,Canada
13,name13,43,Australia
14,name14,21,Canada
15,name15,54,Canada
16,name16,55,UK
17,name17,54,USA
18,name18,49,Canada
19,name19,53,Australia
20,name20,63,India
21,name21,38,UK
22,name22,29,USA
23,name23,41,USA
24,name24,37,UK
25,name25,50,USA
26,name26,20,India
27,name27,30,UK
28,name28,67,India
29,name29,38,India
30,name30,31,India
31,name31,55,USA
32,name32,58,Canada
33,name33,17,USA
34,name34,51,UK
35,name35,33,Australia
36,name36,61,India
37,name37,58,Australia
38,name38,64,USA
39,name39,36,India
40,name40,23,Australia
41,name41,16,UK
42,name42,19,USA
43,name43,67,India
44,name44,18,Australia
45,name45,28,UK
46,name46,39,UK
47,name47,56,Canada
48,name48,59,UK
49,name49,58,India
50,name50,13,India
51,name51,65,USA
52,name52,17,India
53,name53,62,India
54,name54,44,India
55,name55,58,Australia
56,name56,27,Canada
57,name57,25,USA
58,name58,33,Canada
59,name59,42,Canada
60,name60,44,USA
61,name61,22,Canada
62,name62,28,India
63,name63,40,India
64,name64,36,India
65,name65,48,India
66,name66,50,USA
67,name67,40,Australia
68,name68,16,UK
69,name69,18,India
70,name70,40,UK
71,name71,53,India
72,name72,45,USA
73,name73,55,Australia
74,name74,41,India
75,name75,48,India
76,name76,15,India
77,name77,39,Canada
78,name78,43,UK
79,name79,67,Australia
80,name80,20,UK
81,name81,40,Canada
82,name82,39,Australia
83,name83,50,USA
84,name84,68,Australia
85,name85,26,Australia
86,name86,26,UK
87,name87,37,Australia
88,name88,29,Canada
89,name89,51,USA
90,name90,56,India
91,name91,27,Australia
92,name92,52,Australia
93,name93,54,Australia
94,name94,32,Australia
95,name95,26,USA
96,name96,41,India
97,name97,33,India
98,name98,23,Australia
99,name99,50,India
100,name100,14,UK
101,name101,23,UK
102,name102,68,UK
103,name103,18,UK
104,name104,26,Australia
105,name105,65,UK
106,name106,66,India
107,name107,25,UK
108,name108,29,Canada
109,name109,68,Canada
110,name110,59,UK
111,name111,58,UK
112,name112,52,UK
113,name113,44,Australia
114,name114,28,UK
115,name115,47,Canada
116,name116,30,Canada
117,name117,49,Canada
118,name118,33,Canada
119,name119,58,USA
120,name120,68,India
121,name121,47,Australia
122,name122,14,UK
123,name123,67,UK
124,name124,51,Australia
125,name125,41,Australia
126,name126,54,UK
127,name127,43,USA
128,name128,45,UK
129,name129,20,India
130,name130,30,USA
131,name131,19,Canada
132,name132,37,UK
133,name133,27,India
134,name134,41,Australia
135,name135,50,Australia
136,name136,25,Australia
137,name137,26,USA
